Id,price
974298,3150.0
1051884,10487.5
684464,4749.5
1255387,11125.0
1195520,5722.5
915095,2625.5
1473203,9250.0
771920,5497.0
507587,32650.0
972509,2625.0
1233191,13677.5
138219,8900.0
1678487,8699.0
296855,2250.0
1388526,3487.5
656907,13362.5
546294,16750.0
886160,11950.0
725724,800.0
525619,11888.5
1004077,3575.0
651711,7249.5
961866,5172.5
1239902,3200.0
1388186,10397.5
634975,6324.5
1643997,8047.5
879412,9745.0
1211117,4850.0
889246,10400.0
746176,4600.0
1588096,6995.0
345966,2647.5
1524636,15248.5
1253597,21995.0
267134,7900.0
1340703,2710.0
1580061,14382.0
1066584,2599.5
713695,3447.5
2265,10499.5
1191611,3197.5
1305765,6150.0
142638,9950.5
1609296,10900.0
790985,5375.0
1088447,12474.5
205327,12474.5
1564129,18449.0
400925,9524.0
172669,5016.0
5297,25972.5
920024,9250.0
1292611,12750.0
519589,13447.5
1041512,3622.5
547375,14000.0
1234416,3950.0
952401,1694.0
502201,4350.0
927955,1700.0
413526,9400.0
1415027,6097.5
662094,7300.0
300401,4795.5
510869,5950.0
966154,1850.0
482184,1900.0
305757,7600.0
764904,1050.0
238867,14450.0
69011,9450.5
619747,4099.5
1289761,1850.0
466809,6495.0
1234487,3100.0
63061,36825.0
1098309,2649.5
1548733,11972.5
662814,4450.0
754099,7600.0
1099744,2850.0
1157283,22706.0
905925,13498.5
830219,21899.5
541740,24500.0
864798,19054.5
218856,10995.0
289181,11967.5
450846,8522.0
1132407,6050.0
576482,5450.0
466692,15199.5
1018284,29872.5
950783,8699.5
500124,14147.5
552820,2700.0
834053,3349.5
868608,3747.5
1013552,3750.0
144337,28900.0
1117019,8950.0
1302023,4000.0
1115466,8550.0
787434,3350.0
629957,5000.0
1565975,8722.5
651514,6274.5
1225853,7925.0
397885,16815.5
1458655,13000.0
424855,3892.0
564721,12493.5
1236529,6503.5
1500087,9249.5
1299219,4100.0
314758,10494.0
1284187,4700.0
302856,7325.0
386522,21244.0
323689,7650.0
330867,6487.5
947857,5349.5
1441207,8181.5
1375460,12997.5
491202,6200.0
1355933,2498.0
774955,1999.5
473275,7845.0
1216594,8747.5
1525880,2700.0
102549,2097.5
394555,3200.0
535035,9497.5
1442265,13122.5
1014527,2500.0
370879,22719.0
512103,9943.0
1113129,8647.5
143718,7950.5
1086078,7995.0
197143,26447.5
1274584,17489.5
1464669,1576.5
1384213,3400.0
293810,16349.5
758936,16200.0
147014,14522.5
1158202,23445.0
846383,2200.0
1672080,18398.5
1604802,24700.0
11656,8245.0
663198,9925.0
670648,7709.5
1126058,12455.0
1020899,6450.0
861277,29994.0
833723,4047.0
391288,5710.5
1184793,39997.5
1170904,18442.5
1719335,12150.0
893671,15995.0
510513,18111.0
1191063,7950.0
1227456,9493.5
1109611,1.0
1209643,7100.0
608763,3650.0
1664184,8575.0
785651,2824.5
547966,1800.0
1605914,3324.5
445601,4550.0
1602386,1750.0
1377147,10100.0
611599,38245.0
1536888,6425.0
527762,7900.0
1078338,3899.5
1093581,2998.0
520618,23794.0
394086,26740.5
902219,9197.5
895969,2597.5
1526855,3275.0
1030588,9500.0
600566,12491.0
36814,8700.0
170062,11499.5
1286173,3850.0
1488852,250.5
733161,2249.5
660598,14647.5
1557685,1750.0
435367,4047.5
364352,8788.0
539918,24426.5
999201,14247.5
243808,12272.5
907300,3247.5
61099,23941.5
1183854,4097.5
128164,19465.0
275488,4975.0
1355767,16497.5
1188853,16995.0
214129,12797.5
770897,2950.0
608497,9503.5
627499,21437.5
1464649,5250.0
248956,6941.5
1077311,4925.0
525799,11999.5
16156,10882.5
71071,600.0
1524576,5500.0
814449,5397.5
826216,50.0
478235,12197.5
753465,8547.5
285638,2625.0
987976,3363.5
769396,14214.0
1437226,16612.5
292061,3850.0
376339,5447.5
1466467,3450.0
234524,21190.0
701245,16450.0
1135900,12513.5
787495,2575.0
1235833,2950.0
327163,8999.0
564441,20947.5
495655,2600.0
1626344,3747.5
1577838,3425.0
500100,2995.0
333507,6557.0
193781,8472.5
757592,5650.0
1442002,8550.0
827264,6899.5
1296890,8995.0
600243,15469.0
830154,3400.5
1138049,10345.0
829273,9250.0
685929,4700.0
27240,16441.5
1190072,11942.0
281407,2000.5
1267911,3100.0
1223914,6747.5
547398,6099.5
666678,11150.0
